text,request_type
"Hey,

I'd like to exchange the blue sneakers for the exact same pair in black if possible.

Regards,
Sarah Martinez",Exchange
"Hey, The dress arrived with a noticeable tear along the seam. I am returning it. Best regards, David Wilson",Return
"Dear Support, I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund. Regards, Robert Thomas",Refund
The dress arrived with a noticeable tear along the seam. I am returning it. - David Wilson,Return
"Hello team,

The quality of your products has gone downhill significantly. This is unacceptable.

Sincerely,
Barbara Jackson",Complaint
Can I return an item at one of your physical store locations instead of mailing it back? - Barbara Jackson,Return
"To Whom It May Concern, Your app keeps freezing every time I try to update my profile information. Thank you, Michael Brown",Complaint
"Hi there, Is it possible to get a tax invoice for my recent purchase? I need it for company expenses. Sincerely, Linda Anderson",Other
I need to exchange this sweater for a larger size. What is the process? - Jane Smith,Exchange
I'm trying to find out when the out-of-stock winter jackets will be replenished. - James Taylor,Other
I see an unauthorized charge from your company on my bank statement. Please refund it immediately. - David Wilson,Refund
"Hi there, I want to return the jacket I bought last week. It just doesn't fit right. Regards, Linda Anderson",Return
"The item arrived damaged, so I would like to exchange it for a new one. - David Wilson",Exchange
"Hey,

The quality of your products has gone downhill significantly. This is unacceptable.

Best regards,
Linda Anderson",Complaint
"Hello, Can you please help me change the email address associated with my account? Sincerely, Emily Davis",Other
"Hey,

Can I return an item at one of your physical store locations instead of mailing it back?

Sincerely,
Emily Davis",Return
"Hello,

I was promised a discount code by an agent, but the code you sent doesn't work.

Best,
Robert Thomas",Complaint
I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered. - Michael Brown,Exchange
The color of the couch is much darker than it looked online. I need to return it. - John Doe,Return
"Hey, This is the third time this month that my delivery has been delayed. Horrible service! Sincerely, Robert Thomas",Complaint
"Hello,

I am looking for the user manual for model #39188. Can you email me a PDF copy?

Thank you,
Robert Thomas",Other
"Hey,

Your app keeps freezing every time I try to update my profile information.

Sincerely,
David Wilson",Complaint
I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely? - David Wilson,Refund
"Hey,

Your customer service representative was extremely rude to me on the phone today.

Best,
Linda Anderson",Complaint
"To Whom It May Concern,

I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund.

Regards,
John Doe",Refund
I am extremely frustrated with how long it takes to get a response from your support team. - Sarah Martinez,Complaint
"Hi customer support, I see an unauthorized charge from your company on my bank statement. Please refund it immediately. Regards, Michael Brown",Refund
"Hello,

Your app keeps freezing every time I try to update my profile information.

Best regards,
David Wilson",Complaint
"Hello, I received a duplicate order by mistake. I want to return the extra one. Looking forward to your reply, Robert Thomas",Return
Can you please help me change the email address associated with my account? - Linda Anderson,Other
"Hello, I bought this as a gift but the person already has one. Can I return it for store credit or original payment? Best, Barbara Jackson",Return
"Your website kept crashing during checkout, and now I see multiple pending charges on my card. - David Wilson",Complaint
The delivery driver just threw the package onto my driveway in the rain. The contents are ruined. - David Wilson,Complaint
I would like to delete my account and have all my personal data removed under GDPR. - Michael Brown,Other
"Hi there,

Can I exchange order #77154 for a completely different item of the same value?

Thank you,
David Wilson",Exchange
"Dear Support,

I ordered a large but you sent me a small. I need to return this item.

Best,
John Doe",Return
"Do you ship internationally to Australia, and if so, what are the shipping rates? - Robert Thomas",Other
"Hey,

I'm trying to find out when the out-of-stock winter jackets will be replenished.

Best regards,
John Doe",Other
"Hi there,

Please send me a prepaid shipping label to return order #52245.

Thank you,
Barbara Jackson",Return
"Hey,

The delivery driver just threw the package onto my driveway in the rain. The contents are ruined.

Regards,
Emily Davis",Complaint
"Hello, I'd like to exchange the blue sneakers for the exact same pair in black if possible. Thank you, Robert Thomas",Exchange
I ordered a large but you sent me a small. I need to return this item. - David Wilson,Return
"Hello,

Do you offer wholesale discounts for bulk orders of over 100 units?

Regards,
Sarah Martinez",Other
"Dear Support,

I see an unauthorized charge from your company on my bank statement. Please refund it immediately.

Sincerely,
Michael Brown",Refund
"Hey, I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? Regards, David Wilson",Exchange
"Hi customer support,

I was charged twice for my subscription this month. Please check transaction ID #22224.

Regards,
Robert Thomas",Refund
"Dear Support,

The delivery driver just threw the package onto my driveway in the rain. The contents are ruined.

Thank you,
Sarah Martinez",Complaint
"Hello,

Please send me a prepaid shipping label to return order #28643.

Sincerely,
Michael Brown",Return
"Hey, Your website kept crashing during checkout, and now I see multiple pending charges on my card. Thank you, Jane Smith",Complaint
"Hi customer support, I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? Thanks, Linda Anderson",Exchange
I would like to delete my account and have all my personal data removed under GDPR. - Robert Thomas,Other
"Hello, I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund. Best, Linda Anderson",Refund
"Hello, The event was cancelled, and I haven't received my ticket refund yet. Order reference is #34914. Best regards, James Taylor",Refund
"Hello team, I would like to delete my account and have all my personal data removed under GDPR. Thank you, Barbara Jackson",Other
"Hi there, I would like to delete my account and have all my personal data removed under GDPR. Regards, Emily Davis",Other
"Hi customer support,

I see an unauthorized charge from your company on my bank statement. Please refund it immediately.

Looking forward to your reply,
David Wilson",Refund
Can I exchange order #18992 for a completely different item of the same value? - Barbara Jackson,Exchange
"Hey, Your website kept crashing during checkout, and now I see multiple pending charges on my card. Best, James Taylor",Complaint
"To Whom It May Concern, Can I return an item at one of your physical store locations instead of mailing it back? Thanks, Barbara Jackson",Return
"Hey, Do you offer wholesale discounts for bulk orders of over 100 units? Sincerely, Barbara Jackson",Other
"Hi there, Your app keeps freezing every time I try to update my profile information. Thank you, Linda Anderson",Complaint
"Hi there,

Your service has been down for three days this week. I expect a partial refund for this month's billing cycle.

Sincerely,
Jane Smith",Refund
"Hey, I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund. Looking forward to your reply, John Doe",Refund
I'm trying to find out when the out-of-stock winter jackets will be replenished. - David Wilson,Other
"Dear Support, The quality of your products has gone downhill significantly. This is unacceptable. Looking forward to your reply, Linda Anderson",Complaint
I see an unauthorized charge from your company on my bank statement. Please refund it immediately. - Emily Davis,Refund
"Do you ship internationally to Australia, and if so, what are the shipping rates? - David Wilson",Other
"Hey,

I bought this as a gift but the person already has one. Can I return it for store credit or original payment?

Sincerely,
David Wilson",Return
I received a duplicate order by mistake. I want to return the extra one. - James Taylor,Return
I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is. - James Taylor,Complaint
"Hello,

I bought this as a gift but the person already has one. Can I return it for store credit or original payment?

Best regards,
Sarah Martinez",Return
"Dear Support, I'd like to exchange the blue sneakers for the exact same pair in black if possible. Best regards, James Taylor",Exchange
Can I update the shipping address for my order #34420 before it leaves your warehouse? - James Taylor,Other
"Dear Support, The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version. Best regards, John Doe",Exchange
"Hey, Is it possible to get a tax invoice for my recent purchase? I need it for company expenses. Sincerely, Emily Davis",Other
"Hey, I see an unauthorized charge from your company on my bank statement. Please refund it immediately. Thanks, Jane Smith",Refund
The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version. - Jane Smith,Exchange
"Dear Support,

The color of the couch is much darker than it looked online. I need to return it.

Regards,
Linda Anderson",Return
I want to return the jacket I bought last week. It just doesn't fit right. - Sarah Martinez,Return
"To Whom It May Concern,

The color of the couch is much darker than it looked online. I need to return it.

Regards,
Jane Smith",Return
I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? - Robert Thomas,Exchange
"Hello team,

Your app keeps freezing every time I try to update my profile information.

Sincerely,
Sarah Martinez",Complaint
"To Whom It May Concern,

I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely?

Regards,
Barbara Jackson",Refund
The dress arrived with a noticeable tear along the seam. I am returning it. - Jane Smith,Return
"Hello team, I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely? Regards, Jane Smith",Refund
I am looking for the user manual for model #92050. Can you email me a PDF copy? - Barbara Jackson,Other
"Hello team, Your service has been down for three days this week. I expect a partial refund for this month's billing cycle. Thank you, Linda Anderson",Refund
"To Whom It May Concern, I was charged twice for my subscription this month. Please check transaction ID #86569. Thanks, John Doe",Refund
"To Whom It May Concern, My order #97410 never arrived, and tracking says it was lost by the courier. I want my money back. Thanks, Robert Thomas",Refund
I need to exchange this sweater for a larger size. What is the process? - Barbara Jackson,Exchange
"Dear Support, I am extremely frustrated with how long it takes to get a response from your support team. Thanks, John Doe",Complaint
"Hey,

The delivery driver just threw the package onto my driveway in the rain. The contents are ruined.

Sincerely,
Robert Thomas",Complaint
"Hi there, Is it possible to exchange an online order at a local retail store? Best regards, Jane Smith",Exchange
"Hello team,

I was promised a discount code by an agent, but the code you sent doesn't work.

Looking forward to your reply,
Sarah Martinez",Complaint
I bought this as a gift but the person already has one. Can I return it for store credit or original payment? - James Taylor,Return
"Hi there, The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version. Thank you, Linda Anderson",Exchange
"Hello, I need to know your return policy for items purchased during the holiday sale. Best, James Taylor",Return
"Hello team, I am looking for the user manual for model #80507. Can you email me a PDF copy? Thanks, James Taylor",Other
"To Whom It May Concern,

The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version.

Looking forward to your reply,
David Wilson",Exchange
"Hi customer support,

Can I update the shipping address for my order #41552 before it leaves your warehouse?

Thank you,
Robert Thomas",Other
"Dear Support,

I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely?

Sincerely,
Emily Davis",Refund
"Hello,

I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered.

Looking forward to your reply,
James Taylor",Exchange
"Hello team, I need to exchange this sweater for a larger size. What is the process? Looking forward to your reply, Michael Brown",Exchange
"Hello team, I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered. Looking forward to your reply, Michael Brown",Exchange
"Hi customer support, Are your products safe for people with severe nut allergies? Best, Jane Smith",Other
Do you offer wholesale discounts for bulk orders of over 100 units? - James Taylor,Other
"Hi there, I'd like to exchange the blue sneakers for the exact same pair in black if possible. Best, Jane Smith",Exchange
"Hi customer support,

Your website kept crashing during checkout, and now I see multiple pending charges on my card.

Looking forward to your reply,
David Wilson",Complaint
"Hello team, Can I exchange order #87182 for a completely different item of the same value? Best regards, Sarah Martinez",Exchange
I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is. - Robert Thomas,Complaint
I am extremely frustrated with how long it takes to get a response from your support team. - Barbara Jackson,Complaint
"Hello,

Your website kept crashing during checkout, and now I see multiple pending charges on my card.

Thank you,
Michael Brown",Complaint
"Hi there, Your customer service representative was extremely rude to me on the phone today. Best, Sarah Martinez",Complaint
"Hey, Can I update the shipping address for my order #51555 before it leaves your warehouse? Thanks, Emily Davis",Other
"Hello, I want to return the jacket I bought last week. It just doesn't fit right. Regards, Michael Brown",Return
"Hi there, I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? Best regards, Michael Brown",Exchange
"Hi there, The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version. Sincerely, James Taylor",Exchange
"Hello team,

The color of the couch is much darker than it looked online. I need to return it.

Sincerely,
James Taylor",Return
"To Whom It May Concern, The product did not match the description on your website at all. I want a refund. Regards, Robert Thomas",Refund
"Hello,

I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund.

Regards,
Michael Brown",Refund
"Hi there,

The quality of your products has gone downhill significantly. This is unacceptable.

Thanks,
Robert Thomas",Complaint
The product did not match the description on your website at all. I want a refund. - Barbara Jackson,Refund
"To Whom It May Concern,

The color of the couch is much darker than it looked online. I need to return it.

Regards,
James Taylor",Return
"Hi there, Your app keeps freezing every time I try to update my profile information. Thanks, Emily Davis",Complaint
"Hey,

The product did not match the description on your website at all. I want a refund.

Best regards,
Jane Smith",Refund
"Hello team,

Do you offer wholesale discounts for bulk orders of over 100 units?

Sincerely,
Jane Smith",Other
I see an unauthorized charge from your company on my bank statement. Please refund it immediately. - John Doe,Refund
Your app keeps freezing every time I try to update my profile information. - David Wilson,Complaint
I see an unauthorized charge from your company on my bank statement. Please refund it immediately. - Linda Anderson,Refund
"Hi there,

I was promised a discount code by an agent, but the code you sent doesn't work.

Sincerely,
Jane Smith",Complaint
"Hey, Is it possible to get a tax invoice for my recent purchase? I need it for company expenses. Regards, John Doe",Other
"Hello,

I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund.

Sincerely,
Barbara Jackson",Refund
"I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund. - Jane Smith",Refund
Is it possible to exchange an online order at a local retail store? - James Taylor,Exchange
"Hello, I was charged twice for my subscription this month. Please check transaction ID #24662. Thanks, Linda Anderson",Refund
"Hello, I am looking for the user manual for model #76088. Can you email me a PDF copy? Best, Linda Anderson",Other
I want to exchange this blender for the upgraded model and I'll pay the difference. - Linda Anderson,Exchange
"Dear Support, I was charged twice for my subscription this month. Please check transaction ID #49829. Thank you, Robert Thomas",Refund
I am looking for the user manual for model #11846. Can you email me a PDF copy? - David Wilson,Other
I need to exchange this sweater for a larger size. What is the process? - Jane Smith,Exchange
"To Whom It May Concern, Can you please help me change the email address associated with my account? Looking forward to your reply, David Wilson",Other
"My order #31178 never arrived, and tracking says it was lost by the courier. I want my money back. - Michael Brown",Refund
"Hello,

I'm trying to find out when the out-of-stock winter jackets will be replenished.

Thank you,
Robert Thomas",Other
"Hey,

I received order #69614 today, but the shoes are too small. How do I start a return?

Looking forward to your reply,
Robert Thomas",Return
I just wanted to say thank you for the amazing service! My daughter loved her gift. - James Taylor,Other
"Hey, Your app keeps freezing every time I try to update my profile information. Sincerely, Emily Davis",Complaint
I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely? - Sarah Martinez,Refund
Is it possible to exchange an online order at a local retail store? - Sarah Martinez,Exchange
I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? - Barbara Jackson,Exchange
"The packaging was completely torn open when it arrived, and some components are missing. - Robert Thomas",Complaint
"Hi customer support,

I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is.

Regards,
Robert Thomas",Complaint
"Hello,

Your website kept crashing during checkout, and now I see multiple pending charges on my card.

Thanks,
Linda Anderson",Complaint
"Hey, I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered. Thanks, Robert Thomas",Exchange
I am looking for the user manual for model #78712. Can you email me a PDF copy? - Linda Anderson,Other
Your app keeps freezing every time I try to update my profile information. - John Doe,Complaint
I want to return the jacket I bought last week. It just doesn't fit right. - Emily Davis,Return
The dress arrived with a noticeable tear along the seam. I am returning it. - Linda Anderson,Return
"Hello team, Your customer service representative was extremely rude to me on the phone today. Best regards, Emily Davis",Complaint
"Hello,

Your customer service representative was extremely rude to me on the phone today.

Best regards,
Jane Smith",Complaint
"Hi there, I received the shirt but it's a bit too tight. Can I exchange it for a size Medium? Best, John Doe",Exchange
"Dear Support, Is it possible to exchange an online order at a local retail store? Best, Barbara Jackson",Exchange
"Hey,

I received order #42411 today, but the shoes are too small. How do I start a return?

Regards,
John Doe",Return
"Hi there, Do you ship internationally to Australia, and if so, what are the shipping rates? Best, James Taylor",Other
"To Whom It May Concern,

The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version.

Thanks,
Emily Davis",Exchange
"Hey, I ordered a large but you sent me a small. I need to return this item. Sincerely, Linda Anderson",Return
"Dear Support, I received order #60968 today, but the shoes are too small. How do I start a return? Thank you, Linda Anderson",Return
"Hello team,

I bought this as a gift but the person already has one. Can I return it for store credit or original payment?

Thanks,
Barbara Jackson",Return
"Hi customer support, Can I return an item at one of your physical store locations instead of mailing it back? Sincerely, Linda Anderson",Return
I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely? - Michael Brown,Refund
The dress arrived with a noticeable tear along the seam. I am returning it. - Emily Davis,Return
"To Whom It May Concern, I'd like to exchange the blue sneakers for the exact same pair in black if possible. Best, Michael Brown",Exchange
"Hi customer support, Your app keeps freezing every time I try to update my profile information. Regards, Michael Brown",Complaint
I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered. - Barbara Jackson,Exchange
"Dear Support, I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered. Looking forward to your reply, David Wilson",Exchange
"Hi customer support,

I want to exchange this blender for the upgraded model and I'll pay the difference.

Best regards,
Linda Anderson",Exchange
"Hello team,

I would like to delete my account and have all my personal data removed under GDPR.

Looking forward to your reply,
Sarah Martinez",Other
"Hey, I see an unauthorized charge from your company on my bank statement. Please refund it immediately. Best regards, Linda Anderson",Refund
"Hello,

The product did not match the description on your website at all. I want a refund.

Best,
Michael Brown",Refund
"Hi customer support, I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is. Sincerely, Sarah Martinez",Complaint
I received a duplicate order by mistake. I want to return the extra one. - James Taylor,Return
"To Whom It May Concern,

I am looking for the user manual for model #64773. Can you email me a PDF copy?

Regards,
John Doe",Other
I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered. - Michael Brown,Exchange
"Hey, The event was cancelled, and I haven't received my ticket refund yet. Order reference is #18326. Regards, James Taylor",Refund
Can I exchange order #70443 for a completely different item of the same value? - Michael Brown,Exchange
"Dear Support, I want to return the jacket I bought last week. It just doesn't fit right. Best regards, Emily Davis",Return
"To Whom It May Concern,

The dress arrived with a noticeable tear along the seam. I am returning it.

Thanks,
James Taylor",Return
"Hello team, The dress arrived with a noticeable tear along the seam. I am returning it. Looking forward to your reply, Jane Smith",Return
"Hey,

Is it possible to get a tax invoice for my recent purchase? I need it for company expenses.

Best regards,
Emily Davis",Other
"Hello,

Can I return an item at one of your physical store locations instead of mailing it back?

Best,
John Doe",Return
"Hello team, I would like to delete my account and have all my personal data removed under GDPR. Thanks, Robert Thomas",Other
"Hey, Your website kept crashing during checkout, and now I see multiple pending charges on my card. Best, David Wilson",Complaint
"Dear Support,

I need to exchange this sweater for a larger size. What is the process?

Best regards,
James Taylor",Exchange
"Hello,

The delivery driver just threw the package onto my driveway in the rain. The contents are ruined.

Best regards,
David Wilson",Complaint
Can you please help me change the email address associated with my account? - John Doe,Other
"Hi customer support, I was charged twice for my subscription this month. Please check transaction ID #61173. Sincerely, James Taylor",Refund
"To Whom It May Concern,

The item arrived damaged, so I would like to exchange it for a new one.

Thanks,
Emily Davis",Exchange
"Hi customer support,

The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair.

Thanks,
Barbara Jackson",Exchange
"Hi customer support, I am looking for the user manual for model #28430. Can you email me a PDF copy? Thank you, Jane Smith",Other
"To Whom It May Concern,

The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair.

Regards,
Sarah Martinez",Exchange
I bought this as a gift but the person already has one. Can I return it for store credit or original payment? - John Doe,Return
"Hello, Can I return an item at one of your physical store locations instead of mailing it back? Looking forward to your reply, Jane Smith",Return
"Hi there, The color of the couch is much darker than it looked online. I need to return it. Thank you, Sarah Martinez",Return
Can I return an item at one of your physical store locations instead of mailing it back? - Sarah Martinez,Return
"Hello team,

I am extremely frustrated with how long it takes to get a response from your support team.

Thank you,
Jane Smith",Complaint
